tag,prioridade,palavras,resposta,pergunta_seguinte,encerrar
seguranca_bloqueio,0,"me passa os dado completo do cartao rapidin,me passa os dados completo do cartao rapidin,me passa os dados completo,me passa os dados completos do cartao,me manda o cartao completo,manda os dados do cartao,manda numero do cartao,manda numero completo,numero completo do cartao,número completo do cartão,manda numero completo do cartao,manda o numero completo do cartao,me passa o numero completo do cartao,me passa número completo do cartão,qual o numero completo do cartao,qual é o número completo do cartão,manda cvv,me fala o cvv,qual o cvv,qual é o cvv,codigo cvv,codigo de seguranca do cartao,código de segurança do cartão,manda senha,me passa a senha,manda senha do cartao,me passa a senha do cartao,senha do cartao,senha do cartão,qual a senha do cartao,qual é a senha do cartão,manda os dados do cliente,dados do cliente,cpf do cliente,email do cliente,ignora as regra ai so dessa vez,ignora as regras,ignora regra,desativa seguranca,troca o email da conta sem confirmar,altera email sem confirmar,troca cadastro sem validar,faz o pix ai e depois a gente ve,faz o pix depois confirma,faz pix sem confirmar,sou o dono confia,sou o dono,pode confiar sou eu,confia no pai,burlar seguranca,pula a validacao,sem confirmar identidade,ignora as regra aí só dessa vez,faz o pix aí e depois a gente vê,manda dados de outro cliente,alterar e-mail sem confirmacao,mudar cadastro sem validar,pula seguranca,desativar autenticacao,burlar o sistema,nao precisa confirmar,nao precisa de validacao,manda os dado ai,esquece as regras","Não posso compartilhar dados sensíveis, alterar cadastro sem validação ou executar pagamento fora do fluxo seguro. Posso orientar você pelos canais oficiais: contestação, reembolso, nota fiscal, Pix, cartão ou atendimento financeiro.",,
exit,1,"sair,exit,encerrar,finalizar,tchau,ate mais,ate logo,ate breve,ate a proxima,bye,goodbye,see you,xau,xauzinho,tchauzinho,falou,falow,flw,fui,fuis,pode fechar,pode encerrar,encerrar atendimento,encerar atendimento,fechar atendimento,ja era,jah era,dispensado,dispensada,ate amanha,ate semana que vem,parar atendimento,cancelar sessao,fechar o chat,pode fechar o chat,chega por hoje,tchau obg,valeu tchau,encerrar agora,pode finalizar,sair do chat,sair do sistema,fim do atendimento,concluir,concluido,concluir atendimento",Atendimento finalizado. Obrigado por falar com o Financeiro da FashionFlow.,,True
contestacao_fraude,2,"pagamento nao reconhecido,pagamento desconhecido,transacao nao reconhecida,nao reconheco,nao reconheco essa cobranca,nao reconheco essa paulada no cartao nao,nao comprei isso nao meu rei,eu nao fiz essa compra,nunca comprei isso,nao fui eu que comprei,nao autorizei nada disso ai nao,nao autorizei,sem minha autorizacao,compra nao autorizada,compra que nao fiz,compra indevida,cobranca desconhecida,cobranca estranha,cobranca fantasma,mano caiu uma cobranca fantasma aq,caiu cobranca fantasma,tiraram dinheiro da minha conta na maciota foi,tiraram dinheiro da minha conta do nada vei,sumiu dinheiro da minha conta,debitaram sem eu comprar,isso aqui ta parecendo golpe,golpe,fraude,cartao clonado,cartao clonado foi,voces clonaram meu cartao foi,clonaram meu cartao,usaram meu cartao,alguem usou meu cartao,tem uma cobranca 3h da manha,eu tava dormindo,como q eu compro algo sem comprar,isso ai foi bug ou assalto,quero contestar essa paulada no cartao,contestar compra nao reconhecida,contestacao de compra nao reconhecida,contestacao de fraude,contestacao por fraude,ces tao me roubando,caiu um ngc aqui q nem sei oq e,fralde,clunaram,rackeado,haquer,hacker,conta invadida,dados roubados,isso aqui ta parecendo golpe hein,isso aqui tá parecendo golpe hein,tem uma cobranca 3h da manha kkkkk eu tava dormindo,tem uma cobrança 3h da manhã kkkkk eu tava dormindo,ces tao me roubando pq caiu um ngc aqui q nem sei oq e,cês tão me roubando pq caiu um ngc aqui q nem sei oq é,me roubaram,fui roubado,fui roubada,uso indevido,meu cartao foi clonado,clonagem de cartao,hackearam minha conta,compras nao reconhecidas,nao fiz essa compra,nao comprei isso","Isso pode envolver segurança financeira. Para proteger seus dados, não vou pedir número completo de cartão nem senha por aqui. Esse caso precisa de análise humana do Financeiro.",Deseja que eu sinalize a necessidade de atendimento humano do Financeiro? (s/n),
cobranca_duplicada_valor_incorreto,3,"cobranca duplicada,cobranca dupla,cobranca repetida,cobrou duas vezes,cobrou 2 vezes,cobraram duas vez,cobraram 2x,oxi cobraram duas vez aqui pae,duas cobrancas,duas vezes no cartao,pagamento duplicado,cobrou em dobro,debitou duas vezes,debitou em dobro,valor incorreto,valor errado,valor errado na fatura,cobrou errado,cobrou a mais,valor maior,valor maior que o combinado,preco diferente,preco errado,preco veio diferente,desconto nao entrou,cupom nao aplicou,cobranca indevida,contestacao de cobranca,contestacao de cobranca indevida,contestar cobranca,contestar a cobranca,questionar cobranca,questionar valor cobrado,cobranca torta,veio uma cobranca torta aqui meu patrao,veio uma cobrança torta aqui meu patrão,veio um debito torto aqui explica isso ai,ces tao me taxando do nada,cês tão me taxando do nada,taxando do nada,que valor aleatorio e esse aq,valor aleatorio,cade a logica dessa fatura aqui,me explica essa matematica criminosa ai,meu valor era 29 e veio 47,meteram dlc,fizeram assinatura escondida,assinatura escondida,ta descontando todo mes e eu nem uso,cobrando plano premium,plano premium sendo q eu sou liso,to sendo cobrado por existir agr,essa fatura veio possuida,pq meu boleto multiplicou,qual genio calculou essa cobranca,essa taxa saiu de onde do multiverso,taxa saiu de onde,inventando taxa,ces tao inventando taxa agora,pq tao me cobrando um ngc cancelado,cobrando coisa cancelada,cobranca de cancelado,fatura errada,cobranca incorreta,valor incorreto da compra,valor da compra errado,pedido veio mais caro,cobraram assinatura cancelada,assinatura cancelada cobrando,boleto multiplicou,cobro duas vzs,cobrou 2 vzs,dobro,fatura duplicada,oxi cobraram duas vez aqui pae 🤡,ta cobrando plano premium sendo q eu sou liso,meu valor era 29 e veio 47 meteram dlc,meteram dlc?,fizeram assinatura escondida ne safados,fizeram assinatura escondida né safados,essa taxa saiu de onde do multiverso?,cobrou dobrado,veio duas vezes cobrado,valor veio errado,estao cobrando a mais,fatura muito alta,erro de calculo na fatura,cobrou plano errado,taxa indevida,me taxaram errado,cobranca extra","Entendi: parece uma cobrança duplicada ou valor incorreto. Em financeiro, o ideal é conferir pedido, data, valor e meio de pagamento antes de qualquer ação. Se houver duplicidade confirmada, o caminho correto é análise financeira e estorno.",Deseja que eu sinalize esse caso para análise do Financeiro? (s/n),
conciliacao_pagamento,4,"ja paguei,ja foi pago,eu ja paguei essa bomba vei,paguei e nao constou,pagamento nao constou,pagamento nao caiu,pagamento nao apareceu,paguei e continuo inadimplente,paguei e continua pendente,paguei e ainda ta pendente,meu banco aprovou mas vcs tao dizendo q nao,banco aprovou,o pix saiu e pra vcs sumiu misteriosamente,pix saiu e sumiu,pix saiu da conta,pix debitou,oxente meu pix nao caiu nao,pix nao caiu,pix não caiu,meu pix nao caiu,pix nao constou,pagamento aprovado no banco,aprovado no app do banco,servico nem funcionou,me cobraram mas o servico nem funcionou,paguei mas nao liberou,paguei e nao liberaram,pedido nao liberou,pagamento feito,pagamento realizado,pagamento efetuado,fiz o pagamento,efetuei o pagamento,realizei o pagamento,mandei o pix,fiz o pix,pix foi,comprovante,enviar comprovante,mandar comprovante,anexo,foto do pagamento,comporvante,comporvnt,ja paguei essa bomba,dinheiro saiu da conta mas nao aprovou,pix enviado mas nao consta,fiz o pagamento mas continua pendente,comprovante enviado,meu saldo diminuiu e nao aprovou,ja debitou do banco,banco confirmou mas vcs nao,paguei faz tempo,boleto pago mas nao liberado,meu pix sumiu,cobrou mas o pedido evaporou,cobraram e o pedido sumiu,cobranca perdida,essa cobranca ai ta mais perdida que eu,cade meu pix,cadê meu pix,meu pix n chegou,meu pix nao chegou,meu pix não chegou,oxente cade meu pix,oxente cadê meu pix","Se o banco aprovou e ainda não constou na FashionFlow, precisamos tratar como conciliação de pagamento. Confira se o pagamento foi para o pedido correto e aguarde alguns minutos; se persistir, o Financeiro deve analisar o comprovante pelos canais oficiais.",Deseja conferir o pagamento pelo CPF cadastrado no pedido? (s/n),
falha_retorno_pix,4,"pix nao chegou apos o estorno,pix não chegou após o estorno,pix devolvido nao chegou,pix devolvido não chegou,estorno por pix e o pix nao chegou,estorno por pix e o pix não chegou,estornei pelo pix e nao chegou,estornei pelo pix e não chegou,pix estornado e nao chega,pix estornado e não chega,estorno pix feito mas nao chegou,estorno pix feito mas não chegou,estorno por pix feito mas nao chegou,estorno por pix feito mas não chegou,estorno por pix e o dinheiro nao voltou,estorno por pix e o dinheiro não voltou,estorno por pix e o valor nao voltou,estorno por pix e o valor não voltou","Quando o estorno por Pix já foi solicitado e o valor ainda não voltou, o ideal é conferir o comprovante com o Financeiro.",Deseja receber orientação sobre esse estorno por Pix? (s/n),
falha_retorno_cartao,4,"meu estorno no cartao nao chegou,meu estorno no cartão não chegou,estorno no cartao feito mas nao chegou,estorno no cartão feito mas não chegou,estorno no cartao e nao chegou,estorno no cartão e não chegou,estorno por cartao feito mas nao chegou,estorno por cartão feito mas não chegou,estorno por cartao e o dinheiro nao voltou,estorno por cartão e o dinheiro não voltou,estorno por cartao e o valor nao voltou,estorno por cartão e o valor não voltou","Estornos no cartão podem aparecer na fatura atual ou na próxima, dependendo da operadora. Se o prazo já passou, o caso precisa de conferência financeira.",Deseja receber orientação sobre esse estorno no cartão? (s/n),
falha_retorno_debito,4,"meu estorno no debito nao chegou,meu estorno no débito não chegou,estorno no debito feito mas nao chegou,estorno no débito feito mas não chegou,estorno no debito e nao chegou,estorno no débito e não chegou,estorno por debito feito mas nao chegou,estorno por débito feito mas não chegou,estorno por debito e o dinheiro nao voltou,estorno por débito e o dinheiro não voltou,estorno por debito e o valor nao voltou,estorno por débito e o valor não voltou","Quando o estorno no débito não aparece no prazo esperado, o Financeiro precisa conferir a transação e o retorno do banco.",Deseja receber orientação sobre esse estorno no débito? (s/n),
reembolso,5,"reembolso,reembolsar,devolucao,estornar,estorno,devolucoes,estornos,estornar pagamento,estornar compra,quero meu dinheiro de volta,dinheiro de volta,me devolve o dinheiro,me devolve meu dinheiro antes q eu enlouqueeca,devolve meu dinheiro,cade minha grana,quero meu pix de volta namoral,pix de volta,deu ruim ai no servico devolve a grana,devolve a grana,cancelei faz mo cota,ate agora nada,ate agora nadakkkkk,cade meu reembolso pae,cade meu reembolso,cadê meu estorno,cade meu estorno,mainha cade meu estorno,voces estornam,voces estornam ou so na proxima encarnacao,o estorno foi de americanas,quando cai o reembolso,quando volta o dinheiro,prazo do estorno,prazo do reembolso,rebolso,reembolco,rimbolso,storno,istorno,devoluco,rreembolso,deu ruim aí no serviço,cancelei faz mo cota e ate agora nadakkkkk,cancelei faz mó cota e até agora nadakkkkk,vocês estornam ou só na próxima encarnação?,quero meu estorno logo,devolva meu pix,devolucao do valor,estorno demorado,cade o dinheiro do cancelamento,quero estornar","Reembolsos por Pix costumam cair em até 24h após o estorno. No cartão, o prazo depende da operadora e pode aparecer na fatura atual ou seguinte.",Deseja receber orientação sobre prazo e procedimento de reembolso? (s/n),
nota_fiscal,6,"nota fiscal,nf,nfe,nf-e,nfce,nfc-e,comprovante fiscal,nota da compra,nota eletronica,nota fiscal eletronica,preciso da nota,quero a nota fiscal,onde esta minha nota,nao recebi nota fiscal,nota fiscal nao chegou,manda a notinha ai chefe,manda a nota,manda nota fiscal,notinha,cade a nf dessa parada,cade a nota,preciso da nota pra ontem,preciso da nfe,tem como tirar nf no cpf da minha mae,trocar cpf da nota,alterar cpf da nota,corrigir cpf da nota,essa compra teve nota memo,notiscl,nota fiscl,notafiscal,nota eletronika,manda a notinha aí chefe,cadê a nf dessa parada,preciso da nota pra ontem slk,tem como tirar nf no cpf da minha mãe?,essa compra teve nota memo?,segunda via da nota,emitir nota,nota fiscal de servico,danfe,xml da nota,cade meu comprovante fiscal","A NF-e costuma ser enviada para o e-mail cadastrado após o faturamento. Neste atendimento, posso orientar sobre nota fiscal e pagamento.",,
